Reference,Board,Owner_Core,Functional_Block,Purpose,Local_Nets,Placement_Class,Current_Status,Notes
J_MAG_USB,A,INPUT_USB,POWER_USB,4Pin magnetic USB/charge input,MAG_5V_RAW;USB_DP;USB_DN;GND,CONNECTOR,CONFIRMED,Keep with USB ESD and fuse on Board A
F1,A,INPUT_USB,POWER_USB,Magnetic input resettable fuse,MAG_5V_RAW;MAG_5V,LOCAL_SUPPORT,CONFIRMED,Place close to J_MAG_USB
D1,A,INPUT_USB,POWER_USB,5V surge clamp,MAG_5V;GND,LOCAL_SUPPORT,CONFIRMED,Place at connector/input side
D2,A,INPUT_USB,POWER_USB,USB D+/D- ESD protection,USB_DP;USB_DN;GND,LOCAL_SUPPORT,CONFIRMED,Place close to J_MAG_USB/MCU USB path
C1,A,INPUT_USB,POWER_USB,Magnetic input bulk capacitor,MAG_5V;GND,LOCAL_SUPPORT,CONFIRMED,Input bulk
C2,A,INPUT_USB,POWER_USB,Magnetic input HF bypass,MAG_5V;GND,LOCAL_SUPPORT,CONFIRMED,Input high-frequency bypass
U1,A,U1_BQ24074,CHARGER_POWERPATH,1S charger and power-path core,MAG_5V;BAT_1S;SYS_PWR;BAT_NTC,CORE,CONFIRMED,Board A charger remains connected to remote battery through FPC
R1,A,U1_BQ24074,CHARGER_POWERPATH,Input-current programming resistor,ILIM_SET;GND,LOCAL_SUPPORT,CONFIRMED,Must stay next to U1
R2,A,U1_BQ24074,CHARGER_POWERPATH,Charge-current programming resistor,ISET_SET;GND,LOCAL_SUPPORT,CONFIRMED,Must stay next to U1
R3,A,U1_BQ24074,CHARGER_POWERPATH,Optional TS bypass / NTC network,BAT_NTC;GND,LOCAL_SUPPORT,CONFIRMED_DNP_OPTION,Do not move to Board B simply because battery is on B
R4,A,U1_BQ24074,CHARGER_POWERPATH,PGOOD pull-up,BQ_PGOOD_N;SYS_3V3,LOCAL_SUPPORT,CONFIRMED,Status line to MCU
R5,A,U1_BQ24074,CHARGER_POWERPATH,CHG pull-up,BQ_CHG_N;SYS_3V3,LOCAL_SUPPORT,CONFIRMED,Status line to MCU
C3,A,U1_BQ24074,CHARGER_POWERPATH,BAT pin local bypass,BAT_1S;GND,LOCAL_SUPPORT,CONFIRMED,Place next to U1 BAT pins even though cell is on Board B
C4,A,U1_BQ24074,CHARGER_POWERPATH,PowerPath OUT bulk,SYS_PWR;GND,LOCAL_SUPPORT,CONFIRMED,Place next to U1 OUT
U2,A,U2_TPS63021,SYS_3V3,3.3V buck-boost core,SYS_PWR;SYS_3V3;L1_SW;L2_SW,CORE,CONFIRMED,System regulator on Board A
L1,A,U2_TPS63021,SYS_3V3,Buck-boost power inductor,L1_SW;L2_SW,LOCAL_SUPPORT,CONFIRMED,Must be tight to U2 switching pins
C5,A,U2_TPS63021,SYS_3V3,VIN bulk 1,SYS_PWR;GND,LOCAL_SUPPORT,CONFIRMED,Local to U2
C6,A,U2_TPS63021,SYS_3V3,VIN bulk 2,SYS_PWR;GND,LOCAL_SUPPORT,CONFIRMED,Local to U2
C7,A,U2_TPS63021,SYS_3V3,VINA HF bypass,SYS_PWR;GND,LOCAL_SUPPORT,CONFIRMED,Local to U2
C8,A,U2_TPS63021,SYS_3V3,VOUT bulk 1,SYS_3V3;GND,LOCAL_SUPPORT,CONFIRMED,Local to U2
C9,A,U2_TPS63021,SYS_3V3,VOUT bulk 2,SYS_3V3;GND,LOCAL_SUPPORT,CONFIRMED,Local to U2
C10,A,U2_TPS63021,SYS_3V3,VOUT bulk 3,SYS_3V3;GND,LOCAL_SUPPORT,CONFIRMED,Local to U2
R6,A,U2_TPS63021,SYS_3V3,Power-good pull-up,TPS_PG_N;SYS_3V3,LOCAL_SUPPORT,CONFIRMED,Status line to MCU
U3,A,U3_MCU,MCU_RF_DEBUG,ESP32-S3 main controller,MCU_GPIO;USB;I2S;I2C;3V3,CORE,CONFIRMED,Plan A current working project
C11,A,U3_MCU,MCU_RF_DEBUG,MCU local bulk,SYS_3V3;GND,LOCAL_SUPPORT,CONFIRMED,Place close to module supply
C12,A,U3_MCU,MCU_RF_DEBUG,MCU HF bypass,SYS_3V3;GND,LOCAL_SUPPORT,CONFIRMED,Place close to module supply
C13,A,U3_MCU,MCU_RF_DEBUG,EN reset delay,ESP_EN;GND,LOCAL_SUPPORT,CONFIRMED,Keep with EN network
R7,A,U3_MCU,MCU_RF_DEBUG,ESP32 EN pull-up,SYS_3V3;ESP_EN,LOCAL_SUPPORT,CONFIRMED,Recovery network
R8,A,U3_MCU,MCU_RF_DEBUG,ESP32 GPIO0 boot pull-up,SYS_3V3;ESP_BOOT,LOCAL_SUPPORT,CONFIRMED,Recovery network
TP_EN,A,U3_MCU,MCU_RF_DEBUG,EN/RESET recovery test point,ESP_EN,TEST_POINT,CONFIRMED,Board A
TP_BOOT,A,U3_MCU,MCU_RF_DEBUG,BOOT/DOWNLOAD recovery test point,ESP_BOOT,TEST_POINT,CONFIRMED,Board A
TP_UART_TX,A,U3_MCU,MCU_RF_DEBUG,UART TX recovery test point,UART0_TX,TEST_POINT,CONFIRMED,Board A
TP_UART_RX,A,U3_MCU,MCU_RF_DEBUG,UART RX recovery test point,UART0_RX,TEST_POINT,CONFIRMED,Board A
TP_3V3_A,A,BOARD_A_POWER,DEBUG_POWER,Board A 3V3 test point,SYS_3V3,TEST_POINT,CONFIRMED,Mandatory
TP_GND_A,A,BOARD_A_POWER,DEBUG_POWER,Board A GND test point,GND,TEST_POINT,CONFIRMED,Mandatory
U4,A,U4_CAM_2V8,CAMERA_POWER,OV5640 2.8V LDO,SYS_3V3;CAM_2V8;CAM_RAIL_EN,CORE,CONFIRMED,Camera rail local
C14,A,U4_CAM_2V8,CAMERA_POWER,U4 input capacitor,SYS_3V3;GND,LOCAL_SUPPORT,CONFIRMED,Place next to U4 IN
C15,A,U4_CAM_2V8,CAMERA_POWER,U4 output capacitor,CAM_2V8;GND,LOCAL_SUPPORT,CONFIRMED,Place next to U4 OUT
R9,A,U4_CAM_2V8,CAMERA_POWER,2.8V enable default-off pull-down,CAM_RAIL_EN;GND,LOCAL_SUPPORT,CONFIRMED,Shared camera rail enable
U5,A,U5_CAM_CORE,CAMERA_POWER,OV5640 core LDO,SYS_3V3;CAM_1V5;CAM_RAIL_EN,CORE,CONFIRMED,Camera core rail local
C16,A,U5_CAM_CORE,CAMERA_POWER,U5 input capacitor,SYS_3V3;GND,LOCAL_SUPPORT,CONFIRMED,Place next to U5 IN
C17,A,U5_CAM_CORE,CAMERA_POWER,U5 output capacitor,CAM_1V5;GND,LOCAL_SUPPORT,CONFIRMED,Place next to U5 OUT
R10,A,U5_CAM_CORE,CAMERA_POWER,Core rail enable default-off pull-down,CAM_RAIL_EN;GND,LOCAL_SUPPORT,CONFIRMED,Shared camera rail enable
J2,A,OV5640_CAMERA,CAMERA,OV5640 24-pin FPC connector,CAM_D0..D7;PCLK;HREF;VSYNC;SCCB;CAM_2V8;CAM_1V5,CONNECTOR,CONFIRMED,Camera endpoint remains Board A
R11,A,OV5640_CAMERA,CAMERA,SCCB SDA pull-up,CAM_2V8;CAM_SDA,LOCAL_SUPPORT,CONFIRMED,Place near camera SCCB
R12,A,OV5640_CAMERA,CAMERA,SCCB SCL pull-up,CAM_2V8;CAM_SCL,LOCAL_SUPPORT,CONFIRMED,Place near camera SCCB
C25,A,OV5640_CAMERA,CAMERA,Camera 2.8V local bulk,CAM_2V8;GND,LOCAL_SUPPORT,CONFIRMED,Local to J2/camera module
C26,A,OV5640_CAMERA,CAMERA,Camera 2.8V HF bypass,CAM_2V8;GND,LOCAL_SUPPORT,CONFIRMED,Local to J2/camera module
C27,A,OV5640_CAMERA,CAMERA,Camera core local bypass,CAM_1V5;GND,LOCAL_SUPPORT,CONFIRMED,Local to J2/camera module
U6,A,U6_MAX98357A,AUDIO_OUT,Mono I2S Class-D amplifier,SYS_PWR;AUDIO_BCLK;AUDIO_WS;AMP_DOUT;SPK_P;SPK_N,CORE,CONFIRMED,Keep I2S on Board A
C18,A,U6_MAX98357A,AUDIO_OUT,Amplifier VDD bulk,SYS_PWR;GND,LOCAL_SUPPORT,CONFIRMED,Place next to U6
C19,A,U6_MAX98357A,AUDIO_OUT,Amplifier VDD HF bypass,SYS_PWR;GND,LOCAL_SUPPORT,CONFIRMED,Place next to U6
R13,A,U6_MAX98357A,AUDIO_OUT,SD_MODE series/current limiting network,AMP_SD_MODE;AMP_SD_PIN,LOCAL_SUPPORT,CONFIRMED,Place next to U6
J_BONE_A,A,U6_MAX98357A,AUDIO_OUT,Local bone-conduction endpoint,SPK_P;SPK_N,ENDPOINT,CONFIRMED,Local speaker branch
