功能,信号,方向,GPIO/Group,固定/可映射,状态,备注
Camera,SCCB_SCL,OUT,GPIO0 / I2C1_SCL,PinMux,FROZEN,OV5640独立SCCB
Camera,SCCB_SDA,I/O,GPIO1 / I2C1_SDA,PinMux,FROZEN,OV5640独立SCCB
Reserve,SPARE1,I/O,GPIO2,GPIO,FREE,保留
Reserve,SPARE2,I/O,GPIO3,GPIO,FREE,保留
Reserve,SPARE3,I/O,GPIO4,GPIO,FREE,保留
Reserve,SPARE4,I/O,GPIO5,GPIO,FREE,保留
MIC,BCLK,OUT,GPIO6 / I2S Group0 CLK,Fixed Group,FROZEN,ICS-43434
MIC,WS,OUT,GPIO7 / I2S Group0 SYNC,Fixed Group,FROZEN,ICS-43434
MIC,DATA,IN,GPIO8 / I2S Group0 DIN,Fixed Group,FROZEN,ICS-43434 SD
Reserve,I2S0_DOUT_SPARE,OUT,GPIO9 / I2S Group0 DOUT,Fixed Group,FREE,当前不用
Debug,UART_RX,IN,GPIO10 / UART1_RXD,PinMux,RESERVED,Recovery/Log；最终DL_UART命名按Beken硬件参考设计复核
Debug,UART_TX,OUT,GPIO11 / UART1_TXD,PinMux,RESERVED,Recovery/Log
USB,USB_D+,I/O,GPIO12 / USB0_DP,Fixed peripheral,FROZEN,4Pin磁吸
USB,USB_D-,I/O,GPIO13 / USB0_DN,Fixed peripheral,FROZEN,4Pin磁吸
Reserve,SPARE5,I/O,GPIO14,GPIO,FREE,保留
Reserve,SPARE6,I/O,GPIO15,GPIO,FREE,保留
Reserve,SPARE7,I/O,GPIO16,GPIO,FREE,保留
Reserve,SPARE8,I/O,GPIO17,GPIO,FREE,保留
Reserve,SPARE9,I/O,GPIO18,GPIO,FREE,保留
Reserve,SPARE10,I/O,GPIO19,GPIO,FREE,保留
Sensor,SENSOR_I2C_SCL,OUT,GPIO20 / I2C0_SCL,PinMux,FROZEN,BMI270 + PCA9540B upstream
Sensor,SENSOR_I2C_SDA,I/O,GPIO21 / I2C0_SDA,PinMux,FROZEN,BMI270 + PCA9540B upstream
BMI270,INT1,IN,GPIO22,GPIO IRQ,FROZEN,事件中断；SMP/CPU中断归属需固件配置
Haptic,HAPTIC_L_TRIG,OUT,GPIO23,GPIO,FROZEN,DRV2605L LEFT IN/TRIG
Haptic,HAPTIC_R_TRIG,OUT,GPIO24,GPIO,FROZEN,DRV2605L RIGHT IN/TRIG
Audio,AMP_SD_MODE,OUT,GPIO25,GPIO,FROZEN,MAX98357A SD_MODE/关断控制
Reserve,SPARE11,I/O,GPIO26,GPIO,FREE,保留
Camera,XCLK,OUT,GPIO27 / JPEG_MCLK,Camera fixed group,FROZEN,OV5640 master clock
Reserve,SPARE12,I/O,GPIO28,GPIO,FREE,保留；不用作当前I2S MCLK
Camera,PCLK,IN,GPIO29 / JPEG_PCLK,Camera fixed group,FROZEN,OV5640
