电源节点,来源,目标电压,主要负载,状态,优先级,待确认
MAG_5V,4Pin磁吸接口,5V,充电/Power Path + USB VBUS,方向冻结,P0,输入保护/ESD/额定电流
BAT_1S,充电管理+LiPo,约3.0~4.2V,BK7258 VBAT + 系统能源,未冻结,P0,容量/最大持续及峰值电流
BK_VBAT,BAT_1S,2.0~4.35V允许范围,BK7258,路径成立,P0,按最终参考设计确认去耦/滤波/片内DC-DC外围
SYS_3V3,BAT_1S经稳压,3.3V,ICS-43434 + BMI270 + DRV2605L LEFT + DRV2605L RIGHT及其它3V3逻辑,未冻结,P0,稳压器拓扑/峰值电流/效率
CAM_2V8,SYS_3V3/BAT,2.8V,OV5640 AVDD/DOVDD,路径保留,P0,LDO电流/纹波/启动时序
CAM_CORE,SYS_3V3,1.2V或1.5V,OV5640 DVDD,路径保留,P0,按最终Camera模组确认
AUDIO_PWR,BAT_1S或系统电源,按MAX98357A设计要求,MAX98357A + 两只并联8Ω Bone,器件路线冻结/电源细节待定,P0,结合实际供电电压确认最大输出/温升
USB_VBUS_SENSE,MAG_5V,安全逻辑电平,BK7258 USB/充电状态检测,未冻结,P1,按Beken USB参考电路
TP_GND,GND,GND,开发测试点,必须,P1,测试点位置/可探测性
TP_3V3,SYS_3V3,3.3V,开发测试点,必须,P1,测试点位置/可探测性
TP_5V,MAG_5V,5V,可选开发测试点,可选,P2,空间允许时增加
TP_VBAT,BAT_1S,约3.0~4.2V,可选开发测试点,可选,P2,空间允许时增加
