网络,源,目的,接口,信号/GPIO,状态,备注
CAM_DATA,OV5640,BK7258,CIS/JPEG DVP,D0=GPIO32;D1=33;D2=34;D3=35;D4=36;D5=37;D6=38;D7=39;PCLK=29;HREF=30;VSYNC=31,FROZEN,使用BK7258 camera fixed group
CAM_XCLK,BK7258,OV5640,Clock,GPIO27/JPEG_MCLK,FROZEN,
CAM_CTRL,BK7258,OV5640,SCCB/I2C1,SCL=GPIO0;SDA=GPIO1,FROZEN,独立Camera总线
SENSOR_I2C,BK7258,BMI270+PCA9540B,I2C0,SCL=GPIO20;SDA=GPIO21,FROZEN,BMI270 0x68；PCA9540B 0x70
HAPTIC_MUX_CH0,PCA9540B,DRV2605L LEFT,I2C,SC0/SD0→DRV_LEFT 0x5A,FROZEN,下游独立上拉
HAPTIC_MUX_CH1,PCA9540B,DRV2605L RIGHT,I2C,SC1/SD1→DRV_RIGHT 0x5A,FROZEN,下游独立上拉
HAPTIC_L_TRIG,BK7258,DRV2605L LEFT,GPIO,GPIO23→IN/TRIG,FROZEN,预配置波形同步触发
HAPTIC_R_TRIG,BK7258,DRV2605L RIGHT,GPIO,GPIO24→IN/TRIG,FROZEN,预配置波形同步触发
HAPTIC_L_OUT,DRV2605L LEFT,J_LRA_LEFT,Differential,OUT+/OUT-,FROZEN,0809 LRA LEFT
HAPTIC_R_OUT,DRV2605L RIGHT,J_LRA_RIGHT,Differential,OUT+/OUT-,FROZEN,0809 LRA RIGHT
BMI_INT,BMI270,BK7258,GPIO IRQ,INT1=GPIO22,FROZEN,SMP/CPU中断归属需固件正确配置
MIC_I2S,ICS-43434,BK7258,I2S Group0,BCLK=GPIO6;WS=GPIO7;DIN=GPIO8,FROZEN,Group0 DOUT GPIO9保留
AUDIO_I2S,BK7258,MAX98357A,I2S Group2,BCLK=GPIO44;LRCLK=GPIO45;DOUT=GPIO47,FROZEN,Group2 DIN GPIO46保留
AMP_MODE,BK7258,MAX98357A,GPIO,GPIO25→SD_MODE,FROZEN,按ADI参考网络完成模式选择/关断
BONE_OUT,MAX98357A,J_BONE_LEFT+J_BONE_RIGHT,BTL Differential,SPK+/SPK-,FROZEN,两个8Ω并联；任一端不得GND
USB_DATA,4Pin磁吸接口,BK7258,USB0,DP=GPIO12;DN=GPIO13,FROZEN,按Beken USB参考设计
DEBUG_UART,BK7258,TP_UART,UART,GPIO10 RX;GPIO11 TX,RESERVED,最终DL_UART命名/下载链按QFN88 Hardware Reference Design复核
DEBUG_RESET,TP_RESET,BK7258,Reset,Dedicated/TBD package pin,PENDING_PIN,原理图前核对
RF,BK7258,2.4GHz天线,RF,Dedicated RF path,PENDING_PIN,按Beken QFN88参考设计
SPARE,BK7258,预留,GPIO,GPIO2/3/4/5/9/14~19/26/28/40~43/46/48~55,FREE,余量充足
